request_id,hour,pickup_zone,dropoff_zone,vehicle_tier,distance_km,duration_min,weather_condition,precipitation_mm_h,visibility_km,temperature_c,congestion_index,traffic_incidents,active_drivers,open_requests,dsr_ratio,rider_loyalty,subtotal_base_fare,weather_multiplier,traffic_multiplier,dsr_multiplier,time_multiplier,total_surge_multiplier,final_fare,driver_payout,platform_commission,acceptance_probability,is_accepted,is_capped
REQ-000944,5,FINANCIAL_DISTRICT,TECH_CORRIDOR,STANDARD,13.3,37.0,CLEAR,0.0,10.0,19.0,0.32,0,45,52,1.16,GOLD,32.57,0.0,0.023,0.0,0.0,1.02,33.22,24.98,8.24,0.9303,1,0
REQ-000945,14,TECH_CORRIDOR,FINANCIAL_DISTRICT,PREMIUM,13.05,34.7,CLEAR,0.0,10.0,12.0,0.34,2,33,47,1.42,REGULAR,74.04,0.0,0.27,0.147,0.0,1.42,105.14,81.97,23.17,0.7599,1,0
REQ-000946,22,DOWNTOWN,FINANCIAL_DISTRICT,COMFORT,25.42,53.9,CLEAR,0.0,10.0,28.1,0.21,0,60,27,0.45,REGULAR,70.69,0.0,0.0,0.0,0.0,1.0,70.69,53.02,17.67,0.8966,1,0
REQ-000947,19,FINANCIAL_DISTRICT,AIRPORT,COMFORT,25.61,64.3,CLEAR,0.0,10.0,7.0,0.44,0,24,52,2.17,REGULAR,75.69,0.0,0.08,0.409,0.25,1.74,131.7,104.38,27.32,0.5948,0,0
REQ-000948,7,DOWNTOWN,TECH_CORRIDOR,PREMIUM,24.11,50.3,DRIZZLE,0.0,10.0,7.4,0.6,0,13,51,3.92,REGULAR,118.26,0.1,0.348,1.022,0.2,2.67,315.75,256.56,59.19,0.1361,0,0
REQ-000949,21,AIRPORT,DOWNTOWN,STANDARD,21.9,63.3,DRIZZLE,0.0,10.0,28.3,0.08,0,48,20,0.42,REGULAR,52.53,0.1,0.0,0.0,0.0,1.1,57.78,43.86,13.92,0.8721,1,0
REQ-000950,19,DOWNTOWN,TECH_CORRIDOR,XL,3.49,9.4,CLEAR,0.0,10.0,9.0,0.57,1,40,47,1.18,GOLD,18.97,0.0,0.435,0.0,0.25,1.69,32.06,25.35,6.71,0.7279,1,0
REQ-000951,2,DOWNTOWN,AIRPORT,PREMIUM,9.47,24.0,CLEAR,0.0,10.0,27.3,0.3,1,32,70,2.19,REGULAR,54.92,0.0,0.137,0.416,0.15,1.7,93.36,73.86,19.5,0.6177,1,0
REQ-000952,7,DOWNTOWN,FINANCIAL_DISTRICT,STANDARD,2.07,4.5,CLEAR,0.0,10.0,22.2,0.73,0,32,25,0.78,REGULAR,7.16,0.0,0.511,0.0,0.2,1.71,12.24,9.69,2.55,0.6121,1,0
REQ-000953,9,AIRPORT,FINANCIAL_DISTRICT,XL,11.61,21.7,HEAVY_RAIN,51.4,1.4,6.1,0.68,1,21,40,1.9,REGULAR,43.4,1.2,0.566,0.315,0.2,3.28,142.35,116.66,25.69,0.0352,0,0
REQ-000954,19,TECH_CORRIDOR,SUBURB_NORTH,XL,22.45,40.9,RAIN,14.4,7.4,19.2,0.43,0,33,42,1.27,GOLD,77.69,0.412,0.074,0.095,0.25,1.83,142.17,113.08,29.09,0.6566,1,0
REQ-000955,20,TECH_CORRIDOR,DOWNTOWN,XL,18.27,39.5,CLEAR,0.0,10.0,30.6,0.42,0,56,34,0.61,REGULAR,68.07,0.0,0.069,0.0,0.0,1.07,72.83,55.1,17.73,0.88,1,0
REQ-000956,12,AIRPORT,FINANCIAL_DISTRICT,COMFORT,19.5,39.0,DRIZZLE,0.0,10.0,13.0,0.28,0,34,48,1.41,REGULAR,54.22,0.1,0.011,0.143,0.0,1.25,67.78,52.19,15.59,0.8264,1,0
REQ-000957,13,SUBURB_NORTH,FINANCIAL_DISTRICT,XL,20.78,62.0,CLEAR,0.0,10.0,13.4,0.08,0,26,59,2.27,REGULAR,86.84,0.015,0.0,0.444,0.0,1.46,126.79,99.09,27.7,0.7419,0,0
REQ-000958,23,AIRPORT,SUBURB_NORTH,STANDARD,6.85,19.9,DRIZZLE,0.0,10.0,14.2,0.17,0,9,20,2.22,REGULAR,18.52,0.1,0.0,0.427,0.15,1.68,31.11,24.59,6.52,0.629,1,0
REQ-000959,11,AIRPORT,SUBURB_NORTH,STANDARD,22.07,62.3,CLEAR,0.0,10.0,23.8,0.38,0,16,69,4.31,REGULAR,52.39,0.0,0.048,1.158,0.0,2.21,115.78,93.17,22.61,0.3221,0,0
REQ-000960,9,AIRPORT,DOWNTOWN,XL,19.86,37.3,CLEAR,0.0,10.0,29.7,0.74,0,24,50,2.08,GOLD,70.09,0.0,0.527,0.378,0.2,2.11,147.89,118.7,29.19,0.494,1,0
REQ-000961,14,FINANCIAL_DISTRICT,AIRPORT,STANDARD,4.34,12.1,CLEAR,0.0,10.0,24.5,0.27,0,45,21,0.47,REGULAR,12.65,0.018,0.009,0.0,0.0,1.03,13.03,9.81,3.22,0.8897,1,0
REQ-000962,1,FINANCIAL_DISTRICT,AIRPORT,PREMIUM,18.74,60.0,HEAVY_RAIN,54.2,2.3,30.8,0.29,0,28,59,2.11,REGULAR,111.47,1.2,0.014,0.388,0.15,2.75,306.54,249.41,57.13,0.1151,0,0
REQ-000963,0,SUBURB_NORTH,DOWNTOWN,STANDARD,25.7,53.8,FOG,0.0,10.0,5.8,0.36,1,16,77,4.81,PLATINUM,53.95,0.2,0.159,1.2,0.15,2.71,146.2,118.87,27.33,0.249,1,0
REQ-000964,23,SUBURB_NORTH,AIRPORT,PREMIUM,18.56,46.3,CLEAR,0.0,10.0,31.4,0.34,2,47,37,0.79,REGULAR,99.32,0.0,0.27,0.0,0.15,1.42,141.03,109.94,31.09,0.7599,1,0
REQ-000965,3,AIRPORT,FINANCIAL_DISTRICT,STANDARD,3.98,10.5,HEAVY_RAIN,45.6,1.9,7.9,0.14,0,9,27,3.0,GOLD,11.64,1.123,0.0,0.7,0.15,2.97,34.57,28.22,6.35,0.1103,0,0
REQ-000966,2,FINANCIAL_DISTRICT,AIRPORT,COMFORT,17.77,44.6,CLEAR,0.0,10.0,12.4,0.08,0,55,47,0.85,REGULAR,53.89,0.0,0.0,0.0,0.15,1.15,61.97,47.29,14.68,0.8581,1,0
REQ-000967,15,DOWNTOWN,SUBURB_NORTH,STANDARD,22.23,50.5,THUNDERSTORM,37.1,2.9,25.1,0.09,0,9,15,1.67,PLATINUM,48.46,1.177,0.0,0.234,0.0,2.41,116.79,94.43,22.36,0.4052,0,0
REQ-000968,2,DOWNTOWN,AIRPORT,XL,12.16,36.9,RAIN,12.2,5.5,23.5,0.43,0,57,37,0.65,REGULAR,53.68,0.387,0.074,0.0,0.15,1.61,86.42,68.09,18.33,0.6673,1,0
REQ-000969,20,DOWNTOWN,TECH_CORRIDOR,COMFORT,13.34,26.0,HEAVY_RAIN,37.0,1.9,29.4,0.44,0,10,24,2.4,REGULAR,38.21,1.026,0.08,0.49,0.0,2.6,99.35,80.63,18.72,0.1571,0,0
REQ-000970,21,DOWNTOWN,TECH_CORRIDOR,COMFORT,10.91,23.3,THUNDERSTORM,49.5,1.8,16.0,0.31,0,14,57,4.07,REGULAR,32.99,1.2,0.02,1.075,0.0,3.29,108.54,88.96,19.58,0.0344,0,0
REQ-000971,2,TECH_CORRIDOR,DOWNTOWN,XL,27.82,72.7,RAIN,6.4,4.7,5.4,0.45,0,56,63,1.12,GOLD,108.04,0.402,0.086,0.0,0.15,1.64,177.19,139.81,37.38,0.751,1,0
REQ-000972,4,SUBURB_NORTH,AIRPORT,PREMIUM,4.33,11.0,CLEAR,0.0,10.0,14.9,0.43,0,14,47,3.36,REGULAR,29.47,0.0,0.074,0.826,0.0,1.9,55.99,44.64,11.35,0.5,0,0
REQ-000973,7,AIRPORT,FINANCIAL_DISTRICT,COMFORT,25.15,49.1,CLEAR,0.0,10.0,8.8,0.58,0,34,12,0.35,PLATINUM,68.1,0.073,0.326,0.0,0.2,1.6,108.96,85.81,23.15,0.8264,1,0
REQ-000974,0,SUBURB_NORTH,DOWNTOWN,PREMIUM,21.86,69.1,DRIZZLE,0.0,10.0,9.7,0.27,0,46,38,0.83,REGULAR,127.94,0.1,0.009,0.0,0.15,1.26,161.2,124.23,36.97,0.8229,1,0
REQ-000975,0,AIRPORT,FINANCIAL_DISTRICT,COMFORT,19.09,49.4,HEAVY_RAIN,59.2,2.6,29.2,0.4,1,17,65,3.82,REGULAR,58.23,1.2,0.178,0.987,0.15,3.5,203.8,167.41,36.39,0.021,0,1
REQ-000976,21,FINANCIAL_DISTRICT,TECH_CORRIDOR,XL,16.16,32.4,CLEAR,0.0,10.0,26.2,0.2,0,21,11,0.52,REGULAR,59.38,0.0,0.0,0.0,0.0,1.0,59.38,44.54,14.84,0.8966,1,0
REQ-000977,10,DOWNTOWN,AIRPORT,COMFORT,22.99,51.5,FOG,0.0,10.0,25.3,0.13,0,23,49,2.13,GOLD,65.61,0.2,0.0,0.395,0.0,1.59,104.32,82.11,22.21,0.7728,1,0
REQ-000978,0,DOWNTOWN,FINANCIAL_DISTRICT,COMFORT,14.44,30.5,DRIZZLE,0.0,10.0,18.9,0.41,0,15,59,3.93,REGULAR,42.05,0.1,0.063,1.026,0.15,2.34,98.4,79.44,18.96,0.2581,1,0
REQ-000979,16,FINANCIAL_DISTRICT,SUBURB_NORTH,STANDARD,3.25,6.2,CLEAR,0.0,10.0,22.5,0.3,1,55,51,0.93,REGULAR,9.23,0.0,0.137,0.0,0.0,1.14,10.52,8.02,2.5,0.861,1,0
REQ-000980,1,FINANCIAL_DISTRICT,AIRPORT,PREMIUM,18.69,50.0,RAIN,5.6,5.1,5.5,0.23,0,53,67,1.26,GOLD,102.83,0.313,0.002,0.091,0.15,1.56,160.41,126.07,34.34,0.7852,1,0
REQ-000981,2,SUBURB_NORTH,FINANCIAL_DISTRICT,COMFORT,10.96,28.3,RAIN,8.9,6.5,17.8,0.07,0,46,18,0.39,GOLD,35.32,0.35,0.0,0.0,0.15,1.5,52.98,41.5,11.48,0.8085,1,0
REQ-000982,14,SUBURB_NORTH,AIRPORT,STANDARD,27.23,56.6,CLEAR,0.0,10.0,30.3,0.18,0,30,61,2.03,REGULAR,56.85,0.068,0.0,0.36,0.0,1.43,81.3,63.42,17.88,0.7555,1,0
REQ-000983,5,DOWNTOWN,TECH_CORRIDOR,STANDARD,7.33,23.4,DRIZZLE,0.0,10.0,7.1,0.2,0,60,75,1.25,PLATINUM,20.35,0.1,0.0,0.087,0.0,1.19,24.22,18.55,5.67,0.9272,1,0
REQ-000984,14,SUBURB_NORTH,TECH_CORRIDOR,XL,11.78,24.3,CLEAR,0.0,10.0,23.0,0.16,1,18,51,2.83,REGULAR,45.32,0.0,0.12,0.64,0.0,1.76,79.76,63.26,16.5,0.5832,0,0
REQ-000985,1,AIRPORT,DOWNTOWN,STANDARD,13.21,29.0,CLEAR,0.0,10.0,10.5,0.09,0,17,69,4.06,GOLD,29.66,0.0,0.0,1.071,0.15,2.22,65.85,53.01,12.84,0.4285,0,0
REQ-000986,20,TECH_CORRIDOR,FINANCIAL_DISTRICT,COMFORT,3.95,11.7,CLEAR,0.0,10.0,18.3,0.26,0,24,76,3.17,PLATINUM,16.28,0.028,0.007,0.759,0.0,1.79,29.14,23.14,6.0,0.751,1,0
REQ-000987,14,TECH_CORRIDOR,AIRPORT,PREMIUM,22.39,61.8,CLEAR,0.0,10.0,16.5,0.4,0,40,32,0.8,REGULAR,123.22,0.029,0.058,0.0,0.0,1.09,134.31,101.84,32.47,0.8748,0,0
REQ-000988,23,SUBURB_NORTH,DOWNTOWN,XL,7.95,22.7,CLEAR,0.0,10.0,26.2,0.34,0,15,68,4.53,REGULAR,36.32,0.0,0.03,1.2,0.15,2.38,86.44,69.84,16.6,0.2401,1,0
REQ-000989,0,SUBURB_NORTH,FINANCIAL_DISTRICT,PREMIUM,15.48,45.4,CLEAR,0.0,10.0,5.1,0.08,0,48,54,1.12,REGULAR,89.93,0.0,0.0,0.0,0.15,1.15,103.42,78.91,24.51,0.8581,1,0
REQ-000990,14,SUBURB_NORTH,AIRPORT,STANDARD,22.21,56.7,THUNDERSTORM,47.5,1.5,9.1,0.31,0,44,27,0.61,REGULAR,50.6,1.2,0.02,0.0,0.0,2.22,112.33,90.42,21.91,0.3169,0,0
REQ-000991,17,SUBURB_NORTH,DOWNTOWN,XL,8.12,21.7,CLEAR,0.0,10.0,19.8,0.47,0,29,14,0.48,PLATINUM,36.07,0.0,0.099,0.0,0.25,1.35,48.69,37.78,10.91,0.8966,1,0
REQ-000992,4,FINANCIAL_DISTRICT,TECH_CORRIDOR,XL,15.19,33.5,CLEAR,0.0,10.0,21.4,0.29,0,13,46,3.54,REGULAR,58.0,0.035,0.014,0.889,0.0,1.94,112.52,89.84,22.68,0.476,0,0
REQ-000993,11,TECH_CORRIDOR,SUBURB_NORTH,STANDARD,20.08,48.6,THUNDERSTORM,29.4,1.9,17.1,0.27,0,47,67,1.43,REGULAR,45.11,1.191,0.009,0.15,0.0,2.35,106.01,85.6,20.41,0.2535,0,0
REQ-000994,12,TECH_CORRIDOR,DOWNTOWN,PREMIUM,14.87,37.8,CLEAR,0.0,10.0,28.1,0.22,0,16,50,3.12,REGULAR,81.77,0.0,0.001,0.742,0.0,1.74,142.28,112.76,29.52,0.5948,1,0
REQ-000995,20,DOWNTOWN,SUBURB_NORTH,STANDARD,12.36,25.5,RAIN,7.4,6.8,28.8,0.4,0,54,52,0.96,REGULAR,27.37,0.333,0.058,0.0,0.0,1.39,38.04,29.6,8.44,0.7728,1,0
REQ-000996,23,DOWNTOWN,FINANCIAL_DISTRICT,COMFORT,9.27,23.7,CLEAR,0.0,10.0,15.1,0.42,0,20,27,1.35,REGULAR,30.46,0.0,0.069,0.123,0.15,1.34,40.82,31.65,9.17,0.7931,0,0
REQ-000997,17,AIRPORT,FINANCIAL_DISTRICT,COMFORT,18.48,36.7,RAIN,13.2,7.2,27.4,0.82,0,44,23,0.52,REGULAR,51.51,0.398,0.644,0.0,0.25,2.29,117.96,95.11,22.85,0.2817,1,0
REQ-000998,15,DOWNTOWN,SUBURB_NORTH,COMFORT,15.86,36.1,CLEAR,0.0,10.0,30.5,0.44,0,22,38,1.73,REGULAR,46.92,0.0,0.08,0.256,0.0,1.34,62.87,48.75,14.12,0.7931,1,0
REQ-000999,3,AIRPORT,DOWNTOWN,COMFORT,24.37,75.9,DRIZZLE,0.0,10.0,15.6,0.43,0,32,51,1.59,REGULAR,78.87,0.1,0.074,0.207,0.15,1.53,120.67,94.68,25.99,0.7085,1,0
REQ-001000,20,SUBURB_NORTH,AIRPORT,XL,7.83,16.2,DRIZZLE,0.0,10.0,28.7,0.38,1,15,71,4.73,REGULAR,32.16,0.15,0.168,1.2,0.0,2.52,81.04,65.67,15.37,0.1842,1,0
REQ-001001,11,FINANCIAL_DISTRICT,SUBURB_NORTH,COMFORT,9.0,16.7,CLEAR,0.0,10.0,13.3,0.23,0,14,37,2.64,GOLD,26.86,0.0,0.002,0.574,0.0,1.58,42.44,33.39,9.05,0.777,1,0
REQ-001002,3,FINANCIAL_DISTRICT,TECH_CORRIDOR,PREMIUM,20.92,65.5,CLEAR,0.0,10.0,16.5,0.07,0,17,23,1.35,REGULAR,122.25,0.037,0.0,0.123,0.15,1.31,160.15,123.9,36.25,0.8047,1,0
REQ-001003,16,DOWNTOWN,FINANCIAL_DISTRICT,XL,6.61,15.4,SNOW,4.5,6.4,-14.1,0.1,0,16,40,2.5,GOLD,29.12,0.734,0.0,0.525,0.0,2.26,65.81,53.03,12.78,0.4052,0,0
REQ-001004,17,AIRPORT,TECH_CORRIDOR,COMFORT,25.14,78.2,RAIN,12.7,5.7,6.6,0.75,0,36,78,2.17,REGULAR,81.17,0.393,0.54,0.409,0.25,2.59,210.23,170.58,39.65,0.1603,0,0
REQ-001005,23,FINANCIAL_DISTRICT,AIRPORT,PREMIUM,20.36,51.2,HEAVY_RAIN,31.2,2.1,24.8,0.2,0,47,46,0.98,REGULAR,108.53,0.941,0.0,0.0,0.15,2.09,226.83,181.95,44.88,0.3879,1,0
REQ-001006,10,TECH_CORRIDOR,DOWNTOWN,STANDARD,23.12,55.5,CLEAR,0.0,10.0,30.2,0.07,0,48,39,0.81,REGULAR,51.32,0.0,0.0,0.0,0.0,1.0,51.32,38.49,12.83,0.8966,1,0
REQ-001007,3,DOWNTOWN,AIRPORT,COMFORT,18.71,55.3,RAIN,13.4,4.3,5.2,0.06,0,43,33,0.77,REGULAR,60.25,0.401,0.0,0.0,0.15,1.55,93.39,73.36,20.03,0.6985,1,0
REQ-001008,15,AIRPORT,TECH_CORRIDOR,PREMIUM,17.25,55.1,CLEAR,0.0,10.0,31.0,0.42,0,58,66,1.14,GOLD,103.14,0.0,0.069,0.0,0.0,1.07,110.36,83.49,26.87,0.9222,1,0
REQ-001009,23,SUBURB_NORTH,FINANCIAL_DISTRICT,STANDARD,5.37,16.0,RAIN,14.0,5.2,30.6,0.14,0,59,23,0.39,GOLD,15.31,0.407,0.0,0.0,0.15,1.56,23.88,18.77,5.11,0.7852,1,0
REQ-001010,20,DOWNTOWN,AIRPORT,COMFORT,17.77,53.8,CLEAR,0.0,10.0,13.2,0.2,1,13,76,5.85,REGULAR,58.03,0.0,0.12,1.2,0.0,2.32,134.63,108.63,26.0,0.2674,1,0
REQ-001011,15,FINANCIAL_DISTRICT,AIRPORT,PREMIUM,10.97,27.9,CLEAR,0.0,10.0,24.1,0.12,0,37,51,1.38,REGULAR,62.43,0.0,0.0,0.133,0.0,1.13,70.55,53.72,16.83,0.8639,0,0
REQ-001012,18,TECH_CORRIDOR,AIRPORT,PREMIUM,5.53,11.2,SNOW,6.9,6.5,-3.4,0.6,0,54,23,0.43,REGULAR,33.0,0.546,0.349,0.0,0.25,2.15,70.95,57.01,13.94,0.3543,0,0
REQ-001013,14,FINANCIAL_DISTRICT,TECH_CORRIDOR,STANDARD,18.78,38.4,DRIZZLE,0.0,10.0,10.4,0.34,0,19,13,0.68,REGULAR,39.92,0.118,0.03,0.0,0.0,1.15,45.91,35.03,10.88,0.8581,1,0
REQ-001014,23,TECH_CORRIDOR,FINANCIAL_DISTRICT,PREMIUM,24.92,78.2,CLEAR,0.0,10.0,13.8,0.08,0,17,40,2.35,GOLD,144.25,0.038,0.0,0.472,0.15,1.66,239.45,189.11,50.34,0.7419,1,0
REQ-001015,8,AIRPORT,FINANCIAL_DISTRICT,COMFORT,10.33,32.2,CLEAR,0.0,10.0,18.2,0.73,0,59,60,1.02,REGULAR,36.03,0.0,0.513,0.0,0.2,1.71,61.61,48.77,12.84,0.6121,0,0
REQ-001016,15,TECH_CORRIDOR,AIRPORT,XL,24.5,63.9,DRIZZLE,0.0,10.0,24.6,0.23,0,36,10,0.28,REGULAR,95.79,0.1,0.002,0.0,0.0,1.1,105.37,79.99,25.38,0.8721,1,0
REQ-001017,19,DOWNTOWN,AIRPORT,STANDARD,10.61,29.0,CLEAR,0.0,10.0,19.2,0.45,0,28,27,0.96,REGULAR,26.41,0.0,0.086,0.0,0.25,1.34,35.39,27.44,7.95,0.7931,1,0
REQ-001018,3,TECH_CORRIDOR,FINANCIAL_DISTRICT,COMFORT,5.88,17.3,CLEAR,0.0,10.0,14.8,0.34,1,20,32,1.6,REGULAR,21.99,0.001,0.15,0.21,0.15,1.51,33.2,26.02,7.18,0.7183,1,0
REQ-001019,18,TECH_CORRIDOR,SUBURB_NORTH,PREMIUM,15.48,38.8,CLEAR,0.0,10.0,23.5,0.72,0,30,33,1.1,REGULAR,84.32,0.0,0.5,0.0,0.25,1.75,147.56,116.99,30.57,0.589,1,0
REQ-001020,7,DOWNTOWN,FINANCIAL_DISTRICT,COMFORT,2.45,7.8,THUNDERSTORM,45.8,2.5,28.1,0.45,1,18,36,2.0,GOLD,12.05,1.2,0.206,0.35,0.2,2.96,35.67,29.11,6.56,0.1126,0,0
REQ-001021,23,DOWNTOWN,FINANCIAL_DISTRICT,COMFORT,18.72,38.1,SNOW,12.0,6.7,-12.0,0.4,0,60,35,0.58,PLATINUM,52.53,0.775,0.058,0.0,0.15,1.98,104.01,83.16,20.85,0.6566,1,0
REQ-001022,19,SUBURB_NORTH,DOWNTOWN,COMFORT,19.86,49.6,SNOW,4.7,4.2,-12.7,0.45,0,37,62,1.68,REGULAR,59.59,0.707,0.086,0.238,0.25,2.28,135.87,109.53,26.34,0.2866,0,0
REQ-001023,3,DOWNTOWN,FINANCIAL_DISTRICT,STANDARD,5.01,11.7,CLEAR,0.0,10.0,9.9,0.34,0,50,77,1.54,GOLD,13.35,0.0,0.03,0.189,0.15,1.37,18.29,14.21,4.08,0.8522,0,0
REQ-001024,12,FINANCIAL_DISTRICT,AIRPORT,STANDARD,9.63,19.9,CLEAR,0.0,10.0,19.5,0.23,0,57,76,1.33,REGULAR,22.0,0.0,0.002,0.116,0.0,1.12,24.64,18.74,5.9,0.8667,1,0
REQ-001025,17,AIRPORT,FINANCIAL_DISTRICT,STANDARD,4.34,7.9,DRIZZLE,0.0,10.0,21.9,0.55,1,50,51,1.02,PLATINUM,11.19,0.1,0.413,0.0,0.25,1.76,19.69,15.62,4.07,0.7642,1,0
REQ-001026,6,AIRPORT,TECH_CORRIDOR,COMFORT,2.44,7.2,RAIN,7.4,7.9,24.5,0.08,0,59,37,0.63,GOLD,11.77,0.367,0.0,0.0,0.0,1.37,16.12,12.53,3.59,0.8522,1,0
REQ-001027,7,AIRPORT,FINANCIAL_DISTRICT,PREMIUM,23.41,67.6,SNOW,4.4,5.1,-9.6,0.57,0,21,13,0.62,REGULAR,131.01,0.641,0.313,0.0,0.2,2.15,281.67,226.32,55.35,0.3543,1,0
REQ-001028,13,FINANCIAL_DISTRICT,DOWNTOWN,COMFORT,27.74,86.1,CLEAR,0.0,10.0,21.6,0.27,0,47,17,0.36,REGULAR,89.01,0.0,0.009,0.0,0.0,1.01,89.9,67.51,22.39,0.8944,1,0
REQ-001029,7,DOWNTOWN,TECH_CORRIDOR,PREMIUM,24.41,44.7,CLEAR,0.0,10.0,28.2,0.83,1,28,43,1.54,PLATINUM,114.35,0.0,0.778,0.189,0.2,2.17,248.14,199.48,48.66,0.5479,1,0
REQ-001030,0,DOWNTOWN,AIRPORT,XL,2.84,5.3,DRIZZLE,0.0,10.0,29.5,0.25,0,31,64,2.06,GOLD,15.14,0.1,0.005,0.371,0.15,1.63,24.68,19.46,5.22,0.7555,1,0
REQ-001031,11,DOWNTOWN,SUBURB_NORTH,PREMIUM,17.34,50.1,CLEAR,0.0,10.0,16.5,0.15,0,59,42,0.71,REGULAR,99.14,0.0,0.0,0.0,0.0,1.0,99.14,74.36,24.78,0.8966,1,0
REQ-001032,1,DOWNTOWN,FINANCIAL_DISTRICT,STANDARD,22.73,57.3,CLEAR,0.0,10.0,26.8,0.22,0,25,21,0.84,REGULAR,51.46,0.003,0.001,0.0,0.15,1.15,59.18,45.16,14.02,0.8581,1,0
REQ-001033,14,DOWNTOWN,FINANCIAL_DISTRICT,STANDARD,23.12,63.3,CLEAR,0.0,10.0,21.0,0.09,0,13,35,2.69,REGULAR,54.05,0.043,0.0,0.591,0.0,1.63,88.1,69.48,18.62,0.6566,1,0
REQ-001034,2,DOWNTOWN,AIRPORT,STANDARD,14.01,29.7,SNOW,12.8,5.2,-0.7,0.13,0,20,13,0.65,REGULAR,30.9,0.558,0.0,0.0,0.15,1.71,52.84,41.82,11.02,0.6121,1,0
REQ-001035,8,AIRPORT,SUBURB_NORTH,PREMIUM,13.07,31.4,CLEAR,0.0,10.0,10.5,0.55,0,57,35,0.61,REGULAR,71.29,0.0,0.293,0.0,0.2,1.49,106.22,83.16,23.06,0.7279,1,0
REQ-001036,4,SUBURB_NORTH,AIRPORT,PREMIUM,25.13,60.6,CLEAR,0.0,10.0,20.8,0.38,0,10,17,1.7,PLATINUM,129.87,0.0,0.048,0.245,0.0,1.29,167.53,129.41,38.12,0.9092,1,0
REQ-001037,0,SUBURB_NORTH,DOWNTOWN,XL,27.09,72.5,RAIN,12.5,4.2,20.9,0.1,2,49,43,0.88,REGULAR,106.39,0.391,0.24,0.0,0.15,1.78,189.37,150.33,39.04,0.5715,1,0
REQ-001038,21,TECH_CORRIDOR,DOWNTOWN,XL,16.93,37.9,FOG,0.0,10.0,6.8,0.07,0,59,48,0.81,REGULAR,64.29,0.217,0.0,0.0,0.0,1.22,78.43,60.24,18.19,0.8364,1,0
REQ-001039,6,SUBURB_NORTH,TECH_CORRIDOR,PREMIUM,18.61,50.4,CLEAR,0.0,10.0,16.9,0.22,0,14,62,4.43,PLATINUM,102.95,0.0,0.001,1.2,0.0,2.2,226.49,182.22,44.27,0.53,0,0
REQ-001040,15,FINANCIAL_DISTRICT,AIRPORT,PREMIUM,9.45,17.7,DRIZZLE,0.0,10.0,11.7,0.35,0,52,75,1.44,REGULAR,49.5,0.131,0.034,0.154,0.0,1.32,65.34,50.59,14.75,0.8009,1,0
REQ-001041,8,TECH_CORRIDOR,DOWNTOWN,PREMIUM,22.98,43.5,CLEAR,0.0,10.0,16.6,0.7,1,37,16,0.43,REGULAR,109.32,0.078,0.591,0.0,0.2,1.87,204.43,162.83,41.6,0.518,0,0
REQ-001042,5,TECH_CORRIDOR,FINANCIAL_DISTRICT,STANDARD,4.31,8.1,DRIZZLE,0.0,10.0,22.8,0.31,0,42,20,0.48,REGULAR,11.22,0.1,0.02,0.0,0.0,1.12,12.57,9.56,3.01,0.8667,1,0
REQ-001043,14,TECH_CORRIDOR,SUBURB_NORTH,COMFORT,25.33,48.6,SNOW,11.8,6.2,-0.5,0.25,0,42,61,1.45,GOLD,68.16,0.603,0.005,0.157,0.0,1.76,119.96,95.15,24.81,0.6934,1,0
REQ-001044,11,FINANCIAL_DISTRICT,AIRPORT,STANDARD,13.73,41.6,CLEAR,0.0,10.0,24.9,0.44,0,8,79,9.88,REGULAR,34.72,0.0,0.08,1.2,0.0,2.28,79.16,63.81,15.35,0.2866,0,0
REQ-001045,2,AIRPORT,DOWNTOWN,PREMIUM,14.33,35.3,HEAVY_RAIN,27.2,1.0,20.2,0.21,0,18,75,4.17,GOLD,78.12,1.006,0.0,1.109,0.15,3.27,255.45,209.32,46.13,0.0569,0,0
REQ-001046,16,TECH_CORRIDOR,AIRPORT,COMFORT,17.6,42.1,CLEAR,0.0,10.0,24.6,0.43,0,50,16,0.32,REGULAR,52.49,0.0,0.074,0.0,0.0,1.07,56.16,42.49,13.67,0.88,1,0
REQ-001047,18,FINANCIAL_DISTRICT,DOWNTOWN,XL,25.52,49.1,CLEAR,0.0,10.0,14.6,0.8,0,26,80,3.08,REGULAR,89.05,0.0,0.614,0.728,0.25,2.59,230.64,187.14,43.5,0.1603,0,0
REQ-001048,21,SUBURB_NORTH,AIRPORT,STANDARD,22.25,54.4,DRIZZLE,0.0,10.0,15.8,0.07,0,48,46,0.96,GOLD,49.85,0.1,0.0,0.0,0.0,1.1,54.84,41.63,13.21,0.9168,1,0
REQ-001049,8,TECH_CORRIDOR,FINANCIAL_DISTRICT,XL,26.32,63.2,CLEAR,0.0,10.0,13.4,0.41,0,17,30,1.76,PLATINUM,99.19,0.0,0.063,0.266,0.2,1.53,151.76,119.08,32.68,0.8492,1,0
REQ-001050,16,FINANCIAL_DISTRICT,TECH_CORRIDOR,XL,16.11,31.8,SNOW,14.5,7.1,-9.0,0.14,1,35,27,0.77,PLATINUM,58.91,0.743,0.12,0.0,0.0,1.86,109.57,87.24,22.33,0.7183,1,0
REQ-001051,2,FINANCIAL_DISTRICT,TECH_CORRIDOR,STANDARD,13.05,34.9,CLEAR,0.0,10.0,7.0,0.1,0,23,55,2.39,REGULAR,31.52,0.081,0.0,0.486,0.15,1.72,54.21,42.93,11.28,0.6064,0,0
